ID,NIS Dummy,Nama Inisial Siswa,Kelas,Jurusan,Username Dummy,Email Dummy,Password Dummy,Jenis Kelamin
SIS-001,0067400001,Siswa Inisial S-001,XII TBSM 1,TBSM,siswa001,siswa001@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-002,0067400002,Siswa Inisial S-002,XII TBSM 1,TBSM,siswa002,siswa002@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-003,0067400003,Siswa Inisial S-003,XII TBSM 1,TBSM,siswa003,siswa003@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-004,0067400004,Siswa Inisial S-004,XII TBSM 1,TBSM,siswa004,siswa004@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-005,0067400005,Siswa Inisial S-005,XII TBSM 1,TBSM,siswa005,siswa005@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-006,0067400006,Siswa Inisial S-006,XII TBSM 1,TBSM,siswa006,siswa006@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-007,0067400007,Siswa Inisial S-007,XII TBSM 1,TBSM,siswa007,siswa007@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-008,0067400008,Siswa Inisial S-008,XII TBSM 1,TBSM,siswa008,siswa008@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-009,0067400009,Siswa Inisial S-009,XII TBSM 1,TBSM,siswa009,siswa009@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-010,0067400010,Siswa Inisial S-010,XII TBSM 1,TBSM,siswa010,siswa010@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-011,0067400011,Siswa Inisial S-011,XII TBSM 1,TBSM,siswa011,siswa011@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-012,0067400012,Siswa Inisial S-012,XII TBSM 1,TBSM,siswa012,siswa012@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-013,0067400013,Siswa Inisial S-013,XII TBSM 1,TBSM,siswa013,siswa013@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-014,0067400014,Siswa Inisial S-014,XII TBSM 1,TBSM,siswa014,siswa014@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-015,0067400015,Siswa Inisial S-015,XII TBSM 1,TBSM,siswa015,siswa015@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-016,0067400016,Siswa Inisial S-016,XII TBSM 1,TBSM,siswa016,siswa016@smkn1bandardua.sch.id,siswapass123,Perempuan
